기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상,기타불명
2016,마포구,사망자수,15,2,3,-,10,-
2016,마포구,부상자수,2605,445,268,305,1438,149
2016,양천구,발생건수,1493,174,126,155,869,169
2016,양천구,사망자수,12,2,1,1,6,2
2016,양천구,부상자수,2056,271,177,220,1203,185
2016,강서구,발생건수,1691,214,195,202,909,171
2016,강서구,사망자수,13,2,1,2,7,1
2016,강서구,부상자수,2230,287,255,274,1225,189
2016,구로구,발생건수,1511,252,172,170,795,122
2016,구로구,사망자수,9,1,2,-,4,2
2016,구로구,부상자수,2139,366,254,257,1126,136
2016,금천구,발생건수,799,146,88,99,412,54
2016,금천구,사망자수,15,2,-,3,10,-
2016,금천구,부상자수,1133,206,134,159,574,60
2016,영등포구,발생건수,2403,370,259,295,1239,240
2016,영등포구,사망자수,22,2,2,1,15,2
2016,영등포구,부상자수,3473,539,391,434,1834,275
2016,동작구,발생건수,1471,211,177,172,798,113
2016,동작구,사망자수,19,2,2,1,12,2
2016,동작구,부상자수,2028,291,277,242,1097,121
2016,관악구,발생건수,1408,204,170,168,769,97
2016,관악구,사망자수,19,4,3,2,9,1
2016,관악구,부상자수,1895,301,257,213,1022,102
2016,서초구,발생건수,2313,266,252,304,1348,143
2016,서초구,사망자수,16,1,-,2,12,1
2016,서초구,부상자수,3473,456,362,469,1991,195
2016,강남구,발생건수,3828,494,507,493,2082,252
2016,강남구,사망자수,12,4,2,-,5,1
2016,강남구,부상자수,5445,748,739,704,2956,298
2016,송파구,발생건수,2598,296,241,305,1470,286
2016,송파구,사망자수,14,3,-,2,9,-
2016,송파구,부상자수,3646,411,370,453,2076,336
2016,강동구,발생건수,1426,159,157,148,805,157
2016,강동구,사망자수,17,2,2,2,10,1
2016,강동구,부상자수,1957,202,244,199,1144,168
2017,합계,발생건수,38625,3918,3671,3191,25350,2495
2017,합계,사망자수,343,30,30,30,240,13
2017,합계,부상자수,53810,5509,5226,4414,35711,2950
2017,종로구,발생건수,1190,83,102,69,877,59
2017,종로구,사망자수,13,-,2,2,9,-
2017,종로구,부상자수,1689,115,144,96,1262,72
